Class	Order	Family	Genus	species	Genus_species	Gaspar_code	Size_cm	Geo_range	Diet_level	Home_range	Activity	Level_water	Schooling
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	bahianus	acanthurus_bahianus	942	38,09999847	32	HD	Mob	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	bariene	acanthurus_bariene	4307	50	39	HD	Mob	Day	Bottom	Pair
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	blochii	acanthurus_blochii	4750	45	79	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	chirurgus	acanthurus_chirurgus	943	39	31	HD	Mob	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	chronixis	acanthurus_chronixis	6010	28	3	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	coeruleus	acanthurus_coeruleus	944	39	30	HD	Mob	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	dussumieri	acanthurus_dussumieri	1256	54	79	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	fowleri	acanthurus_fowleri	4745	45	17	HD	Mob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	gahhm	acanthurus_gahhm	17471	40	10	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	grammoptilus	acanthurus_grammoptilus	4749	35	12	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	guttatus	acanthurus_guttatus	4736	26	67	HD	Mob	Day	Bottom	LargeG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	japonicus	acanthurus_japonicus	23375	21	9	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	leucocheilus	acanthurus_leucocheilus	4741	45	41	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	leucopareius	acanthurus_leucopareius	4737	24	27	HD	Mob	Day	Bottom	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	leucosternon	acanthurus_leucosternon	1257	54	35	HD	VMob	Day	Bottom	LargeG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	lineatus	acanthurus_lineatus	1258	38	91	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	maculiceps	acanthurus_maculiceps	4746	40	44	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	mata	acanthurus_mata	1255	50	88	PK	VMob	Day	Low	LargeG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	monroviae	acanthurus_monroviae	1800	45	12	HD	Mob	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	nigricans	acanthurus_nigricans	6011	21,3	78	HD	Sed	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	nigricauda	acanthurus_nigricauda	4747	40	82	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	nigrofuscus	acanthurus_nigrofuscus	4739	21	103	HD	Sed	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	nigroris	acanthurus_nigroris	4738	25	12	HD	Sed	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	nubilus	acanthurus_nubilus	4733	26	26	PK	VMob	Day	High	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	olivaceus	acanthurus_olivaceus	4744	35	70	HD	Mob	Day	Bottom	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	polyzona	acanthurus_polyzona	4732	11	5	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	pyroferus	acanthurus_pyroferus	4742	25	63	HD	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	reversus	acanthurus_reversus	58792	21,6	3	HD	Mob	Day	Bottom	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	sohal	acanthurus_sohal	4740	40	10	HD	Mob	Day	Bottom	SmallG
