Genus_species	Gaspar_code	Ogasawara	Norfolk	Guadalupe_island	Carajos_Island	Azores	Aldabra	Ambon_islands	Andaman_Nicobar	Ascension	Australes_Islands	Baker_and_Howland	Bermuda	Cabo_Verde	Canaries	Chagos	Desventuradas	JFernandez_islands	Christmas_Indian_Ocean	Chuuk	Clipperton	Cocos_Keeling	Comores_Mayotte_and_around	Cook_islands	Cocos_TEP	Easter_island	Fiji	Galapagos	Gambier	Hawaii_main	Ifaluk_and_around	Jonston_atoll	Kapingamangari	Kermadec	Kosrae	Laccadives	Line_islands	Lord_Howe	Loyalty_islands	Madagascar	Maldives	Malpelo	Marshall_islands	Mariana_North	Marquesas	Mariana_South	Mauritius	New_Caledonia_Main_island	Niue	F_Noronha	Palau	Phoenix	Pitcairn_and_Dulcie	Principe	Pohnpei	Rapa_island	La_Reunion	Revillagigedos	Rodrigues_island	Rotuma_island	Sala_y_Gomez	Samoa	Sao_Tome	St_Helena	Socotra	Society_islands	Solomon_islands	St_Pauls_Rocks	Tonga	Trindade	Tuamotu_islands	Tuvalu_Gilbert	Vanuatu	Wake	Wallis_island	Yap
acanthurus_achilles	4306	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0
acanthurus_albipectoralis	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0
acanthurus_auranticavus	4748	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
acanthurus_bahianus	942	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
acanthurus_bariene	4307	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
acanthurus_blochii	4750	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1
acanthurus_chirurgus	943	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acanthurus_chronixis	6010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acanthurus_coeruleus	944	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
acanthurus_dussumieri	1256	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0
acanthurus_fowleri	4745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
acanthurus_gahhm	17471	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
acanthurus_grammoptilus	4749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
acanthurus_guttatus	4736	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1
acanthurus_japonicus	23375	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acanthurus_leucocheilus	4741	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0
acanthurus_leucopareius	4737	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
acanthurus_leucosternon	1257	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
acanthurus_lineatus	1258	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1
acanthurus_maculiceps	4746	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1
acanthurus_mata	1255	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1
acanthurus_monroviae	1800	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
acanthurus_nigricans	6011	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1
acanthurus_nigricauda	4747	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1
acanthurus_nigrofuscus	4739	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1
acanthurus_nigroris	4738	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
